probe_id,design,log_step_index,global_step,epoch,train_loss,grad_norm,learning_rate
onset_probe_50_lora_pilot_layer16,probe_N,2,20,0.059,0.2882,2.235,9.471e-05
onset_probe_50_lora_pilot_layer16,probe_N,3,30,0.118,0.1913,4.021,8.882e-05
onset_probe_50_lora_pilot_layer16,probe_N,4,40,0.177,0.1155,0.3911,8.294e-05
onset_probe_50_lora_pilot_layer16,probe_N,5,50,0.236,0.1772,0.6604,7.706e-05
onset_probe_50_lora_pilot_layer16,probe_N,6,60,0.295,0.1647,0.872,7.118e-05
onset_probe_50_lora_pilot_layer16,probe_N,7,70,0.354,0.1054,0.4552,6.529e-05
onset_probe_50_lora_pilot_layer16,probe_N,8,80,0.413,0.1643,0.3909,5.941e-05
onset_probe_50_lora_pilot_layer16,probe_N,9,90,0.472,0.08077,0.5717,5.353e-05
onset_probe_50_lora_pilot_layer16,probe_N,10,100,0.531,0.1787,0.3547,4.765e-05
onset_probe_50_lora_pilot_layer16,probe_N,11,110,0.59,0.1324,0.2562,4.176e-05
onset_probe_50_lora_pilot_layer16,probe_N,12,120,0.649,0.1017,1.115,3.588e-05
onset_probe_50_lora_pilot_layer16,probe_N,13,130,0.708,0.1001,0.447,3e-05
onset_probe_50_lora_pilot_layer16,probe_N,14,140,0.767,0.1364,1.628,2.412e-05
onset_probe_50_lora_pilot_layer16,probe_N,15,150,0.826,0.07445,0.9626,1.824e-05
onset_probe_50_lora_pilot_layer16,probe_N,16,160,0.885,0.1439,1.429,1.235e-05
onset_probe_50_lora_pilot_layer16,probe_N,17,170,0.944,0.09967,0.3514,6.471e-06
onset_probe_50_lora_pilot_layer16,probe_N,18,180,1.0,0.1067,0.1329,5.882e-07
onset_probe_100_lora_pilot_layer16,probe_N,1,10,0.0059,0.4288,14.06,0.0001
onset_probe_100_lora_pilot_layer16,probe_N,2,20,0.059,0.3255,1.689,9.471e-05
onset_probe_100_lora_pilot_layer16,probe_N,3,30,0.118,0.2508,4.359,8.882e-05
onset_probe_100_lora_pilot_layer16,probe_N,4,40,0.177,0.1397,0.6996,8.294e-05
onset_probe_100_lora_pilot_layer16,probe_N,5,50,0.236,0.2222,1.565,7.706e-05
onset_probe_100_lora_pilot_layer16,probe_N,6,60,0.295,0.2049,1.477,7.118e-05
onset_probe_100_lora_pilot_layer16,probe_N,7,70,0.354,0.1544,0.7361,6.529e-05
onset_probe_100_lora_pilot_layer16,probe_N,8,80,0.413,0.2025,0.71,5.941e-05
onset_probe_100_lora_pilot_layer16,probe_N,9,90,0.472,0.1206,0.6715,5.353e-05
onset_probe_100_lora_pilot_layer16,probe_N,10,100,0.531,0.2358,0.5703,4.765e-05
onset_probe_100_lora_pilot_layer16,probe_N,11,110,0.59,0.1641,0.5423,4.176e-05
onset_probe_100_lora_pilot_layer16,probe_N,12,120,0.649,0.1507,1.019,3.588e-05
onset_probe_100_lora_pilot_layer16,probe_N,13,130,0.708,0.1454,0.7759,3e-05
onset_probe_100_lora_pilot_layer16,probe_N,14,140,0.767,0.193,2.582,2.412e-05
onset_probe_100_lora_pilot_layer16,probe_N,15,150,0.826,0.1165,1.749,1.824e-05
onset_probe_100_lora_pilot_layer16,probe_N,16,160,0.885,0.1931,1.576,1.235e-05
onset_probe_100_lora_pilot_layer16,probe_N,17,170,0.944,0.1468,0.4752,6.471e-06
onset_probe_100_lora_pilot_layer16,probe_N,18,180,1.0,0.1609,0.2302,5.882e-07
onset_probe_200_lora_pilot_layer16,probe_N,1,10,0.0059,0.458,12.33,0.0001
onset_probe_200_lora_pilot_layer16,probe_N,2,20,0.059,0.3811,1.221,9.471e-05
onset_probe_200_lora_pilot_layer16,probe_N,3,30,0.118,0.2999,5.052,8.882e-05
onset_probe_200_lora_pilot_layer16,probe_N,4,40,0.177,0.1755,1.939,8.294e-05
onset_probe_200_lora_pilot_layer16,probe_N,5,50,0.236,0.2726,1.73,7.706e-05
onset_probe_200_lora_pilot_layer16,probe_N,6,60,0.295,0.257,2.378,7.118e-05
onset_probe_200_lora_pilot_layer16,probe_N,7,70,0.354,0.2137,1.477,6.529e-05
onset_probe_200_lora_pilot_layer16,probe_N,8,80,0.413,0.2718,1.212,5.941e-05
onset_probe_200_lora_pilot_layer16,probe_N,9,90,0.472,0.1752,0.5829,5.353e-05
onset_probe_200_lora_pilot_layer16,probe_N,10,100,0.531,0.2699,1.02,4.765e-05
onset_probe_200_lora_pilot_layer16,probe_N,11,110,0.59,0.2042,1.301,4.176e-05
onset_probe_200_lora_pilot_layer16,probe_N,12,120,0.649,0.2299,2.496,3.588e-05
onset_probe_200_lora_pilot_layer16,probe_N,13,130,0.708,0.2065,1.373,3e-05
onset_probe_200_lora_pilot_layer16,probe_N,14,140,0.767,0.2649,2.621,2.412e-05
onset_probe_200_lora_pilot_layer16,probe_N,15,150,0.826,0.1749,3.105,1.824e-05
onset_probe_200_lora_pilot_layer16,probe_N,16,160,0.885,0.254,1.41,1.235e-05
onset_probe_200_lora_pilot_layer16,probe_N,17,170,0.944,0.2111,0.854,6.471e-06
onset_probe_200_lora_pilot_layer16,probe_N,18,180,1.0,0.2172,0.4167,5.882e-07
